Year,Month,Source,Location,Event
2015,Jul-15,thoughtco,National,"so-called “gun show loophole” allowing gun sales conducted without Brady Act background checks, U.S. Rep. Jackie Speier (D-Calif.) introduces the Fix Gun Checks Act of 2015 (H.R. 3411), to require background checks for all gun sales, including sales made over the internet and at gun shows."
2015,Dec-15,Wikipedia,California," Rizwan Farook and Tashfeen Malik carried out an attack at the Inland Regional Center in San Bernardino, California, killing 14 and seriously injuring 22 others."
2016,Jun-16,Wikipedia,Florida, Omar Mateen kills 49 people and injures 58 members of the LBGT community at the Pulse nightclub
2016,Nov-16,Wikipedia,National," U.S. presidential election, 2016: Donald Trump elected president, Mike Pence elected vice president"
2016,Dec-16,Wikipedia,California, Dozens killed in Oakland Warehouse Fire
2016,Dec-16,Wikipedia,National, John Glenn dies.
2017,Jan-17,Wikipedia,Florida," Esteban Santiago-Ruiz opens fire inside near the Terminal 2 baggage claim inside the Fort Lauderdaleâ€“Hollywood International Airport in Broward County, Florida, killing 5 and injuring 6. 30 to 40 others were injured in the panic that followed the incident."
2017,Jan-17,Wikipedia,National," Donald Trump becomes the 45th President, Mike Pence becomes Vice President. Trump is the first person without prior military or government service to hold the office."
2017,May-17,Wikipedia,National," Trump fires FBI director James Comey, precipitating the Mueller investigation."
2017,Aug-17,Wikipedia,National, Relations between the U.S. and the U.N. and North Korea strain after the country tested missiles in various places.
2017,May-17,Wikipedia,National, The United States drops missiles and bombs on Syria.
2017,Aug-17,Wikipedia,Virgina," A white supremacist rally in Charlottesville, Virginia leads to three deaths and to the discussion about racism in modern American society. The term alt-right receives renewed popular consciousness."
2017,Aug-17,Wikipedia,Texas," Hurricane Harvey makes landfall in the United States, flooding broad swaths of Texas and Louisiana and causing tens of billions of dollars of damage, making it one of the costliest natural disasters in U.S. history."
2017,Sep-17,Wikipedia,Florida, Hurricane Irma makes landfall in Florida and causes tens of billions of dollars of damage. Irma also wrecks the Caribbean Islands.
2017,Sep-17,Wikipedia,Puerto Rico," Hurricane Maria made landfall on Puerto Rico as a Category 5 hurricane, killing hundreds and knocking out the island's power."
2017,Oct-17,Wikipedia,Nevada," A gunman opens fire at a Las Vegas Strip concert, killing 58 people and injuring 546. This is the deadliest mass shooting in modern U.S. history."
2017,Oct-17,thoughtco,National,U.S. Sen. Dianne Feinstein (D-Calif.) introduces the “Automatic Gunfire Prevention Act” that would ban the sale and possession of bump stocks and other devices that allow a semiautomatic weapon to fire like a fully-automatic weapon.
2017,Oct-17,Wikipedia,National," Film producer Harvey Weinstein is accused of sexual harassment in a New York Times expose, marking the beginning of the Me Too movement."
2017,Feb-18,Wikipedia,Florida," A gunman kills 17 people and injures 17 at Marjory Stoneman Douglas High School in Parkland, Florida."
2018,Jul-18,thoughtco,National,U.S. District Judge Robert Lasnik in Seattle issued a temporary restraining blocking the release of blueprints that could be used to produce untraceable and undetectable 3D-printable plastic guns.
2018,Jun-18,Wikipedia,National, Donald Trump meets with North Korean leader Kim Jong-un in Singapore.
2018,Sep-18,Wikipedia,West Virgina, The entire West Virginia Supreme court of Appeals is impeached.
2018,Mar-18,Wikipedia,National," America was distraught after the death of Stephen Hawking in Cambridge, United Kingdom. He left a legacy in theories of the universe and astrophysics."
2018,Nov-18,Wikipedia,National," In the 2018 United States elections, the Democrats retake the House while the Republicans keep the Senate."
2018,Nov-18,Wikipedia,National, Creator of Spongebob Squarepants Stephen Hillenberg and Creative leader of Marvel Comics Stan Lee both die in November.
2017,Nov-18,Wikipedia,National, Former U.S. President George H. W. Bush dies from complications resulting from Parkinson's disease. He lies in the state at the U.S. Capitol building before being interred.
2019,Jan-18,Wikipedia,National, All the works published in 1923 except for sound recordings (2022 scheduled events) enter the public domain in the United States.
2019,Jan-19,Wikipedia,Washington, Washington State bans anyone under 21 years of age from purchasing a semi-automatic rifle
2019,Jan-19,Wikipedia,National," The longest government shutdown in American History (December 22nd, 2018 -January 25th, 2019), or 35 days, officially ends."
2019,Jan-19,Wikipedia,National, Large portions of the United States are hit with a polar vortex. The city of Chicago once again hit a record low: 27 degrees below zero. It occurred for fifty-two straight hours.
2019,Feb-19,Wikipedia,National, President Donald Trump confirms that the U.S. will leave the Intermediate-range Nuclear Forces Treaty.
2019,Jul-19,Wikipedia,National," Mexican drug boss/lord JoaquÃ­n ""El Chapo"" GuzmÃ¡n is found guilty on all ten counts at a drug-trafficking trial in New York."
2019,Feb-19,Wikipedia,National, Singer R. Kelly charged with ten counts of aggravated criminal sexual abuse for incidents dating back as far as the year 1998.
2019,Feb-19,Wikipedia,National, 2019 North Korea - United States Hanoi Summit held in Vietnam. It is the second summit between U.S. President Donald Trump and North Korean leader Kim Jong-un.
2019,Mar-19,Wikipedia,National," Vice President Mike Pence orders NASA to fly Americans to the Moon within the next five years, using either government or private carriers."
2019,Oct-19,Wikipedia,National," Supreme Court case Bucklew V. Precythe the Supreme Court ruled 5 to 4 that inmates on death row are not guaranteed ""painless executions"" under the Constitution"
2019,Apr-19,Wikipedia,National, The 1973 War Powers Act Resolution is invoked for the first time when the House of Representatives votes 247-175 to end U.S. military assistance in Saudi Arabia in its intervention in the Yemeni Civil War.
2019,Apr-19,Wikipedia,National, The first image of a black hole is taken.
2019,Apr-19,Wikipedia,National," James Earl Carter Jr. becomes the longest ever living U.S. president at 94 years old, following the death of George H. W. Bush in December of 2018."
2019,Apr-19,Wikipedia,National, Avengers Endgame is released going on to become the highest grossing movie of all time.
2019,Apr-19,Wikipedia,California," A gunman kills one and injures three in a California Synagogue. The suspect is white supremacist John Timothy Earnest, who was 19 years old at the time."
2019,May-19,Wikipedia,Virgina, A city employee for Virginia Beach entered a municipal building with a gun and kills 12 people.
2019,Jun-19,Wikipedia,National, President Trump reached an agreement with Mexico to avoid tariffs.
2019,Jun-19,Wikipedia,Texas," A construction crane fell on an apartment complex in Dallas, killing 1 person and injuring 6."
2019,Jun-19,Wikipedia,California, One person died and two more were injured after a gunman entered a Costco in Southern California.
2019,Jun-19,Wikipedia,National, The Supreme Court ruled to give President Trump $2.5 billion to fund his wall. The court ruled in a 5-4 vote.
